objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageautistic
40,E06000040,"""Windsor and Maidenhead""",2020,"""South East""",81190,875,1.08%
253,E07000239,"""Wyre Forest""",2020,"""West Midlands""",50579,567,1.12%
241,E07000223,Adur,2020,"""South East""",80155,357,0.45%
66,E07000026,Allerdale,2020,"""North West""",126164,551,0.44%
242,E07000224,Arun,2020,"""South East""",96698,845,0.87%
193,E07000170,Ashfield,2020,"""East Midlands""",93411,761,0.81%
134,E07000105,Ashford,2020,"""South East""",71821,742,1.03%
218,E07000200,Babergh,2020,"""East of England""",282152,496,0.18%
296,E09000003,Barnet,2020,London,188335,"2,476",1.31%
273,E08000016,Barnsley,2020,"""Yorkshire and the Humber""",139198,"1,470",1.06%
99,E07000066,Basildon,2020,"""East of England""",92702,"1,091",1.18%
194,E07000171,Bassetlaw,2020,"""East Midlands""",125871,686,0.55%
54,E06000055,Bedford,2020,"""East of England""",184431,"1,011",0.55%
297,E09000004,Bexley,2020,London,828363,"1,475",0.18%
281,E08000025,Birmingham,2020,"""West Midlands""",76334,"7,088",9.29%
158,E07000129,Blaby,2020,"""East Midlands""",116699,595,0.51%
9,E06000009,Blackpool,2020,"""North West""",62192,821,1.32%
73,E07000033,Bolsover,2020,"""East Midlands""",219710,485,0.22%
258,E08000001,Bolton,2020,"""North West""",53275,"1,682",3.16%
165,E07000136,Boston,2020,"""East Midlands""",155224,419,0.27%
28,E06000028,Bournemouth,2020,"""South West""",400121,793,0.20%
288,E08000032,Bradford,2020,"""Yorkshire and the Humber""",118098,"3,145",2.66%
100,E07000067,Braintree,2020,"""East of England""",107507,871,0.81%
172,E07000143,Breckland,2020,"""East of England""",248458,790,0.32%
298,E09000005,Brent,2020,London,60115,"2,216",3.69%
101,E07000068,Brentwood,2020,"""East of England""",103657,432,0.42%
173,E07000144,Broadland,2020,"""East of England""",248806,717,0.29%
299,E09000006,Bromley,2020,London,77107,"1,937",2.51%
248,E07000234,Bromsgrove,2020,"""West Midlands""",74850,570,0.76%
128,E07000095,Broxbourne,2020,"""East of England""",90938,563,0.62%
195,E07000172,Broxtowe,2020,"""East Midlands""",69915,693,0.99%
146,E07000117,Burnley,2020,"""North West""",147935,511,0.35%
259,E08000002,Bury,2020,"""North West""",163645,"1,116",0.68%
289,E08000033,Calderdale,2020,"""Yorkshire and the Humber""",106007,"1,236",1.17%
61,E07000008,Cambridge,2020,"""East of England""",184873,896,0.48%
300,E09000007,Camden,2020,London,125971,"1,904",1.51%
135,E07000106,Canterbury,2020,"""South East""",89042,"1,016",1.14%
68,E07000028,Carlisle,2020,"""North West""",137878,621,0.45%
159,E07000130,Charnwood,2020,"""East Midlands""",137003,"1,200",0.88%
103,E07000070,Chelmsford,2020,"""East of England""",96008,"1,063",1.11%
111,E07000078,Cheltenham,2020,"""South West""",113422,711,0.63%
200,E07000177,Cherwell,2020,"""South East""",85595,902,1.05%
74,E07000034,Chesterfield,2020,"""East Midlands""",95161,621,0.65%
243,E07000225,Chichester,2020,"""South East""",73679,650,0.88%
58,E07000005,Chiltern,2020,"""South East""",87532,783,0.89%
147,E07000118,Chorley,2020,"""North West""",40289,713,1.77%
88,E07000048,Christchurch,2020,"""South West""",141427,794,0.56%
104,E07000071,Colchester,2020,"""East of England""",58613,"1,231",2.10%
69,E07000029,Copeland,2020,"""North West""",48637,396,0.81%
179,E07000150,Corby,2020,"""East Midlands""",442332,446,0.10%
51,E06000052,Cornwall,2020,"""South West""",69138,"3,161",4.57%
112,E07000079,Cotswold,2020,"""South West""",254106,499,0.20%
282,E08000026,Coventry,2020,"""West Midlands""",46161,"2,540",5.50%
186,E07000163,Craven,2020,Yorkshire and The Humber,84549,304,0.36%
244,E07000226,Crawley,2020,"""South East""",284268,712,0.25%
301,E09000008,Croydon,2020,London,115983,"2,330",2.01%
129,E07000096,Dacorum,2020,"""East of England""",85357,919,1.08%
5,E06000005,Darlington,2020,"""North East""",77342,609,0.79%
136,E07000107,Dartford,2020,"""South East""",63031,693,1.10%
180,E07000151,Daventry,2020,"""East Midlands""",198076,509,0.26%
15,E06000015,Derby,2020,"""East Midlands""",244909,"1,556",0.64%
274,E08000017,Doncaster,2020,"""Yorkshire and the Humber""",91382,"1,877",2.05%
137,E07000108,Dover,2020,"""South East""",253421,680,0.27%
283,E08000027,Dudley,2020,"""West Midlands""",269572,"1,853",0.69%
302,E09000009,Ealing,2020,London,82691,"2,170",2.62%
94,E07000061,Eastbourne,2020,"""South East""",101482,569,0.56%
119,E07000086,Eastleigh,2020,"""South East""",43976,770,1.75%
70,E07000030,Eden,2020,"""North West""",103005,296,0.29%
225,E07000207,Elmbridge,2020,"""South East""",242465,759,0.31%
303,E09000010,Enfield,2020,London,91948,"2,029",2.21%
76,E07000036,Erewash,2020,"""East Midlands""",99066,678,0.68%
81,E07000041,Exeter,2020,"""South West""",92153,902,0.98%
120,E07000087,Fareham,2020,"""South East""",78482,662,0.84%
63,E07000010,Fenland,2020,"""East of England""",63757,592,0.93%
219,E07000201,Forest Heath,2020,"""East of England""",164716,529,0.32%
148,E07000119,Fylde,2020,"""North West""",93186,442,0.47%
293,E08000037,Gateshead,2020,"""North East""",97531,"1,236",1.27%
196,E07000173,Gedling,2020,"""East Midlands""",66402,689,1.04%
114,E07000081,Gloucester,2020,"""South West""",80964,792,0.98%
121,E07000088,Gosport,2020,"""South East""",199163,500,0.25%
138,E07000109,Gravesham,2020,"""South East""",112589,618,0.55%
304,E09000011,Greenwich,2020,London,195145,"1,959",1.00%
227,E07000209,Guildford,2020,"""South East""",100819,957,0.95%
305,E09000012,Hackney,2020,London,74039,"1,993",2.69%
6,E06000006,Halton,2020,"""North West""",69034,748,1.08%
187,E07000164,Hambleton,2020,Yorkshire and The Humber,202856,506,0.25%
160,E07000131,Harborough,2020,"""East Midlands""",65061,535,0.82%
307,E09000014,Haringey,2020,London,129036,"1,881",1.46%
106,E07000073,Harlow,2020,"""East of England""",190998,512,0.27%
188,E07000165,Harrogate,2020,Yorkshire and The Humber,72681,883,1.21%
308,E09000015,Harrow,2020,London,74228,"1,533",2.07%
122,E07000089,Hart,2020,"""South East""",73488,567,0.77%
1,E06000001,Hartlepool,2020,"""North East""",98807,540,0.55%
95,E07000062,Hastings,2020,"""South East""",192844,542,0.28%
123,E07000090,Havant,2020,"""South East""",79841,708,0.89%
309,E09000016,Havering,2020,London,74416,"1,519",2.04%
130,E07000098,Hertsmere,2020,"""East of England""",217043,583,0.27%
310,E09000017,Hillingdon,2020,London,106758,"1,953",1.83%
245,E07000227,Horsham,2020,"""South East""",202424,807,0.40%
311,E09000018,Hounslow,2020,London,137157,"1,781",1.30%
64,E07000011,Huntingdonshire,2020,"""East of England""",64092,"1,066",1.66%
149,E07000120,Hyndburn,2020,"""North West""",107396,471,0.44%
220,E07000202,Ipswich,2020,"""East of England""",173300,836,0.48%
312,E09000019,Islington,2020,London,74809,"1,826",2.44%
182,E07000153,Kettering,2020,"""East Midlands""",336309,601,0.18%
290,E08000034,Kirklees,2020,"""Yorkshire and the Humber""",117225,"2,625",2.24%
268,E08000011,Knowsley,2020,"""North West""",248300,856,0.34%
315,E09000022,Lambeth,2020,London,115405,"2,421",2.10%
150,E07000121,Lancaster,2020,"""North West""",613992,888,0.14%
291,E08000035,Leeds,2020,"""Yorkshire and the Humber""",260560,"4,948",1.90%
16,E06000016,Leicester,2020,"""East Midlands""",80534,"2,353",2.92%
96,E07000063,Lewes,2020,"""South East""",218749,562,0.26%
316,E09000023,Lewisham,2020,London,83057,"2,095",2.52%
212,E07000194,Lichfield,2020,"""West Midlands""",78190,597,0.76%
