objectid,lau115cd,lau115nm,region,year,predictedprevalence,% population autistic,population education,No qualifications,% no qualifications,Level 1 qualifications,% level 1 qualification,Level 2 qualifications,% level 2 qualifications,Apprenticeship,% Apprenticeship qualifications,Level 3 qualifications,% level 3 qualifications,Level 4 qualifications and above,% level 4 qualification,Other qualifications,% other qualifications,weekly gross pay mean
236,E07000218,"""North Warwickshire""","""West Midlands""",2035,418,0.82%,51049,233835,28.23%,110158,13.30%,113967,13.76%,17654,2.13%,107913,13.03%,190335,22.98%,54501,6.58%,615.7
163,E07000134,"""North West Leicestershire""","""East Midlands""",2035,706,0.93%,75791,47721,19.21%,25718,10.35%,26967,10.85%,3059,1.23%,24163,9.73%,82619,33.25%,38211,15.38%,584.6
237,E07000219,"""Nuneaton and Bedworth""","""West Midlands""",2035,808,0.80%,101244,11651,19.38%,8543,14.21%,10328,17.18%,1979,3.29%,6867,11.42%,18441,30.68%,2306,3.84%,466.8
164,E07000135,"""Oadby and Wigston""","""East Midlands""",2035,314,0.68%,46359,44572,17.91%,33858,13.61%,40025,16.09%,6773,2.72%,28644,11.51%,82304,33.08%,12630,5.08%,814.7
3,E06000003,"""Redcar and Cleveland""","""North East""",2035,744,0.67%,111011,16413,21.29%,9875,12.81%,12191,15.81%,3139,4.07%,9056,11.74%,23551,30.54%,2882,3.74%,485
229,E07000211,"""Reigate and Banstead""","""South East""",2035,892,0.81%,110725,20512,29.34%,10075,14.41%,11046,15.80%,3251,4.65%,8606,12.31%,13092,18.73%,3333,4.77%,648.7
153,E07000124,"""Ribble Valley""","""North West""",2035,338,0.73%,46552,25778,20.46%,14824,11.77%,18056,14.33%,4212,3.34%,22117,17.56%,34385,27.30%,6599,5.24%,657.9
320,E09000027,"""Richmond upon Thames""",London,2035,"1,178",0.79%,150052,22331,19.69%,17202,15.17%,17949,15.82%,4671,4.12%,13210,11.65%,31830,28.06%,6229,5.49%,626.6
141,E07000112,"""Shepway, Folkestone and Hythe""","""South East""",2035,663,1.22%,54201,13439,27.63%,8405,17.28%,8330,17.13%,2005,4.12%,5393,11.09%,7254,14.91%,3811,7.84%,564.3
59,E07000006,"""South Buckinhamshire""","""South East""",2035,792,0.66%,119342,16334,21.12%,13410,17.34%,14036,18.15%,3310,4.28%,8930,11.55%,17053,22.05%,4269,5.52%,664.9
65,E07000012,"""South Cambridgeshire""","""East of England""",2035,911,1.20%,75910,46192,28.04%,23592,14.32%,25601,15.54%,8563,5.20%,18611,11.30%,35409,21.50%,6748,4.10%,508.4
79,E07000039,"""South Derbyshire""","""East Midlands""",2035,730,0.34%,212837,31997,16.75%,20852,10.92%,24447,12.80%,3271,1.71%,19870,10.40%,70218,36.76%,20343,10.65%,534.9
25,E06000025,"""South Gloucestershire""","""South West""",2035,"1,958",2.80%,69868,41548,19.14%,30336,13.98%,30853,14.22%,6316,2.91%,27094,12.48%,60854,28.04%,20042,9.23%,638.1
84,E07000044,"""South Hams""","""South West""",2035,457,0.62%,73354,17942,27.99%,8868,13.84%,10400,16.23%,3547,5.53%,8043,12.55%,12132,18.93%,3160,4.93%,617
169,E07000140,"""South Holland""","""East Midlands""",2035,572,0.52%,109085,29448,16.99%,13943,8.05%,14552,8.40%,1743,1.01%,16904,9.75%,83276,48.05%,13434,7.75%,477.3
170,E07000141,"""South Kesteven""","""East Midlands""",2035,748,0.85%,87777,25915,20.65%,18336,14.61%,22108,17.62%,5112,4.07%,15246,12.15%,32154,25.63%,6605,5.26%,544.3
71,E07000031,"""South Lakeland""","""North West""",2035,540,0.53%,101717,12637,20.31%,6957,11.18%,9636,15.49%,2385,3.83%,7068,11.36%,21113,33.93%,2423,3.89%,639.3
178,E07000149,"""South Norfolk""","""East of England""",2035,885,1.29%,68624,25073,22.63%,14129,12.75%,15342,13.85%,2858,2.58%,16885,15.24%,30722,27.73%,5796,5.23%,518.6
184,E07000155,"""South Northamptonshire""","""East Midlands""",2035,577,0.53%,108232,36158,25.02%,22288,15.42%,23338,16.15%,5037,3.49%,15589,10.79%,29245,20.24%,12840,8.89%,518.6
202,E07000179,"""South Oxfordshire""","""South East""",2035,816,0.92%,89163,16134,23.63%,12132,17.77%,12531,18.35%,2956,4.33%,8158,11.95%,13659,20.01%,2701,3.96%,578.4
155,E07000126,"""South Ribble""","""North West""",2035,610,0.46%,132625,14390,21.52%,12065,18.04%,11941,17.86%,2521,3.77%,7889,11.80%,14762,22.08%,3298,4.93%,575.9
207,E07000189,"""South Somerset""","""South West""",2035,872,0.96%,90506,39616,34.30%,17499,15.15%,18751,16.24%,4740,4.10%,11002,9.53%,18340,15.88%,5547,4.80%,472.5
214,E07000196,"""South Staffordshire""","""West Midlands""",2035,638,0.52%,122200,32643,26.45%,22396,18.15%,21639,17.53%,4218,3.42%,13483,10.93%,21519,17.44%,7509,6.08%,572.1
279,E08000023,"""South Tyneside""","""North East""",2035,864,0.61%,140621,11232,17.72%,8791,13.87%,10919,17.22%,2092,3.30%,7594,11.98%,20251,31.94%,2520,3.97%,681.7
33,E06000033,"""Southend-on-Sea""","""East of England""",2035,"1,131",1.02%,110590,12513,17.45%,9501,13.25%,10752,15.00%,2104,2.93%,8361,11.66%,23082,32.20%,5380,7.50%,647.5
254,E07000240,"""St Albans""","""East of England""",2035,823,0.91%,90683,28447,29.83%,13550,14.21%,15490,16.24%,5196,5.45%,11128,11.67%,17052,17.88%,4506,4.72%,537.1
222,E07000204,"""St Edmundsbury""","""East of England""",2035,518,0.36%,143372,59806,19.65%,36823,12.10%,48576,15.96%,12395,4.07%,37854,12.44%,97248,31.95%,11672,3.83%,625.8
270,E08000013,"""St. Helens""","""North West""",2035,"1,077",1.33%,81106,56940,20.97%,36010,13.26%,42655,15.71%,10727,3.95%,35042,12.91%,79712,29.36%,10387,3.83%,592.5
216,E07000198,"""Staffordshire Moorlands""","""West Midlands""",2035,530,0.34%,154503,116948,27.50%,57032,13.41%,67905,15.97%,17694,4.16%,57957,13.63%,91249,21.46%,16473,3.87%,518
4,E06000004,"""Stockton-on-Tees""","""North East""",2035,"1,127",0.56%,200642,27529,26.78%,13094,12.74%,16098,15.66%,3976,3.87%,14874,14.47%,23121,22.49%,4121,4.01%,536.7
21,E06000021,"""Stoke-on-Trent""","""West Midlands""",2035,"1,635",1.63%,100042,14253,27.92%,7800,15.28%,8551,16.75%,2091,4.10%,6079,11.91%,10096,19.78%,2179,4.27%,555.8
239,E07000221,"""Stratford-on-Avon""","""West Midlands""",2035,792,0.77%,102401,18363,16.58%,14587,13.17%,18345,16.57%,3237,2.92%,13294,12.01%,37602,33.96%,5297,4.78%,492
223,E07000205,"""Suffolk Coastal""","""East of England""",2035,653,0.94%,69302,14268,12.90%,11061,10.00%,14763,13.35%,3076,2.78%,11518,10.42%,51251,46.34%,4653,4.21%,507.9
232,E07000214,"""Surrey Heath""","""South East""",2035,491,0.54%,90109,19345,19.34%,11971,11.97%,15619,15.61%,3619,3.62%,11712,11.71%,33396,33.38%,4380,4.38%,523.4
208,E07000190,"""Taunton Deane""","""South West""",2035,436,0.33%,132440,11918,18.91%,9337,14.81%,10742,17.04%,2762,4.38%,7416,11.77%,18158,28.81%,2698,4.28%,492
20,E06000020,"""Telford and Wrekin""","""West Midlands""",2035,"1,165",1.23%,94414,21247,21.78%,15704,16.10%,16831,17.26%,4180,4.29%,12832,13.16%,21651,22.20%,5086,5.21%,485
126,E07000093,"""Test Valley""","""South East""",2035,729,1.04%,69819,24746,25.04%,14619,14.80%,16913,17.12%,4787,4.84%,11812,11.95%,22017,22.28%,3913,3.96%,494.6
132,E07000102,"""Three Rivers""","""East of England""",2035,530,0.55%,95821,33002,29.89%,15053,13.63%,16891,15.30%,4874,4.41%,14542,13.17%,20472,18.54%,5575,5.05%,497.5
144,E07000115,"""Tonbridge and Malling""","""South East""",2035,804,0.39%,203953,62584,23.87%,35791,13.65%,43363,16.54%,11823,4.51%,31650,12.07%,67024,25.57%,9927,3.79%,515.3
