objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
18,E06000018,Nottingham,2035,"""East Midlands""",250104,"2,427",0.97,63991,25.59,30619,12.24,32333,12.93,5715,2.29,46411,18.56,54875,21.94,16160,6.46,485.7
199,E07000176,Rushcliffe,2035,"""East Midlands""",90551,755,0.83,14835,16.38,9411,10.39,13032,14.39,3061,3.38,11861,13.1,35307,38.99,3044,3.36,574.4
17,E06000017,Rutland,2035,"""East Midlands""",30683,232,0.76,5453,17.77,3729,12.15,5373,17.51,1114,3.63,3834,12.5,10096,32.9,1084,3.53,482.9
185,E07000156,Wellingborough,2035,"""East Midlands""",60348,483,0.8,15534,25.74,9661,16.01,9932,16.46,2489,4.12,6544,10.84,12307,20.39,3881,6.43,777.4
72,E07000032,"""Amber Valley""",2040,"""East Midlands""",100841,762,0.76,27220,26.99,13986,13.87,15627,15.5,4683,4.64,12086,11.99,23346,23.15,3893,3.86,540.7
75,E07000035,"""Derbyshire Dales""",2040,"""East Midlands""",59299,376,0.63,12773,21.54,7088,11.95,8870,14.96,1992,3.36,6572,11.08,19816,33.42,2188,3.69,569.1
166,E07000137,"""East Lindsey""",2040,"""East Midlands""",115418,738,0.64,37648,32.62,16355,14.17,18058,15.65,4922,4.26,12071,10.46,20849,18.06,5515,4.78,431
181,E07000152,"""East Northamptonshire""",2040,"""East Midlands""",69576,579,0.83,15506,22.29,10629,15.28,12222,17.57,3085,4.43,8220,11.81,16866,24.24,3048,4.38,563.6
161,E07000037,"""High Peak""",2040,"""East Midlands""",74416,535,0.72,15520,20.86,9771,13.13,11931,16.03,2943,3.95,9779,13.14,21884,29.41,2588,3.48,485.7
46,E07000132,"""Hinckley and Bosworth""",2040,"""East Midlands""",86475,738,0.85,21089,24.39,12342,14.27,13895,16.07,4144,4.79,10733,12.41,20803,24.06,3469,4.01,527
277,E07000175,"""Newark and Sherwood""",2040,"""East Midlands""",93957,729,0.78,23550,25.06,13423,14.29,15088,16.06,3795,4.04,11169,11.89,22698,24.16,4234,4.51,555.4
12,E07000038,"""North East Derbyshire""",2040,"""East Midlands""",82699,567,0.69,22277,26.94,11752,14.21,13731,16.6,3632,4.39,9838,11.9,18340,22.18,3129,3.78,491.2
13,E07000139,"""North Kesteven""",2040,"""East Midlands""",88700,679,0.77,19289,21.75,12232,13.79,15306,17.26,3885,4.38,11685,13.17,22559,25.43,3744,4.22,679.5
237,E07000134,"""North West Leicestershire""",2040,"""East Midlands""",75791,728,0.96,19691,25.98,9988,13.18,11639,15.36,3426,4.52,9411,12.42,18402,24.28,3234,4.27,540.7
3,E07000135,"""Oadby and Wigston""",2040,"""East Midlands""",46359,316,0.68,10461,22.57,6144,13.25,7008,15.12,1976,4.26,6796,14.66,11476,24.75,2498,5.39,498.7
25,E07000039,"""South Derbyshire""",2040,"""East Midlands""",75910,750,0.99,16707,22.01,10674,14.06,12617,16.62,3663,4.83,9738,12.83,19701,25.95,2810,3.7,691.4
