objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
14,E06000014,York,2020,"""Yorkshire and The Humber""",166275,1351,0.81,29863,17.96,17636,10.61,23070,13.87,7429,4.47,27590,16.59,53875,32.4,6812,4.1,585.8
14,E06000014,York,2025,"""Yorkshire and The Humber""",166275,"1,355",0.81,29863,17.96,17636,10.61,23070,13.87,7429,4.47,27590,16.59,53875,32.4,6812,4.1,585.8
14,E06000014,York,2030,"""Yorkshire and The Humber""",166275,"1,361",0.82,29863,17.96,17636,10.61,23070,13.87,7429,4.47,27590,16.59,53875,32.4,6812,4.1,585.8
14,E06000014,York,2035,"""Yorkshire and The Humber""",166275,"1,361",0.82,29863,17.96,17636,10.61,23070,13.87,7429,4.47,27590,16.59,53875,32.4,6812,4.1,572.5
14,E06000014,York,2040,"""Yorkshire and The Humber""",166275,"1,353",0.81,29863,17.96,17636,10.61,23070,13.87,7429,4.47,27590,16.59,53875,32.4,6812,4.1,585.8
186,E07000163,Craven,2020,"""Yorkshire and The Humber""",46161,304,0.66,9356,20.27,5418,11.74,7263,15.73,2103,4.56,5655,12.25,14663,31.76,1703,3.69,538.2
186,E07000163,Craven,2025,"""Yorkshire and The Humber""",46161,299,0.65,9356,20.27,5418,11.74,7263,15.73,2103,4.56,5655,12.25,14663,31.76,1703,3.69,538.2
186,E07000163,Craven,2030,"""Yorkshire and The Humber""",46161,295,0.64,9356,20.27,5418,11.74,7263,15.73,2103,4.56,5655,12.25,14663,31.76,1703,3.69,538.2
186,E07000163,Craven,2035,"""Yorkshire and The Humber""",46161,293,0.63,9356,20.27,5418,11.74,7263,15.73,2103,4.56,5655,12.25,14663,31.76,1703,3.69,504.2
244,E07000163,Craven,2040,"""Yorkshire and The Humber""",46161,287,0.62,9356,20.27,5418,11.74,7263,15.73,2103,4.56,5655,12.25,14663,31.76,1703,3.69,538.2
187,E07000164,Hambleton,2020,"""Yorkshire and The Humber""",74039,506,0.68,14536,19.63,8869,11.98,11914,16.09,3015,4.07,9015,12.18,23736,32.06,2954,3.99,491.1
187,E07000164,Hambleton,2025,"""Yorkshire and The Humber""",74039,489,0.66,14536,19.63,8869,11.98,11914,16.09,3015,4.07,9015,12.18,23736,32.06,2954,3.99,491.1
187,E07000164,Hambleton,2030,"""Yorkshire and The Humber""",74039,470,0.63,14536,19.63,8869,11.98,11914,16.09,3015,4.07,9015,12.18,23736,32.06,2954,3.99,491.1
187,E07000164,Hambleton,2035,"""Yorkshire and the Humber""",74039,459,0.62,14536,19.63,8869,11.98,11914,16.09,3015,4.07,9015,12.18,23736,32.06,2954,3.99,768.6
187,E07000164,Hambleton,2040,"""Yorkshire and the Humber""",74039,453,0.61,14536,19.63,8869,11.98,11914,16.09,3015,4.07,9015,12.18,23736,32.06,2954,3.99,491.1
188,E07000165,Harrogate,2020,"""Yorkshire and the Humber""",129036,883,0.68,22312,17.29,15280,11.84,21135,16.38,4649,3.6,15220,11.8,44002,34.1,6438,4.99,616.7
188,E07000165,Harrogate,2025,"""Yorkshire and the Humber""",129036,860,0.67,22312,17.29,15280,11.84,21135,16.38,4649,3.6,15220,11.8,44002,34.1,6438,4.99,616.7
188,E07000165,Harrogate,2030,"""Yorkshire and the Humber""",129036,823,0.64,22312,17.29,15280,11.84,21135,16.38,4649,3.6,15220,11.8,44002,34.1,6438,4.99,616.7
188,E07000165,Harrogate,2035,"""Yorkshire and the Humber""",129036,797,0.62,22312,17.29,15280,11.84,21135,16.38,4649,3.6,15220,11.8,44002,34.1,6438,4.99,703.2
188,E07000165,Harrogate,2040,"""Yorkshire and the Humber""",129036,785,0.61,22312,17.29,15280,11.84,21135,16.38,4649,3.6,15220,11.8,44002,34.1,6438,4.99,616.7
189,E07000166,Richmondshire,2020,"""Yorkshire and The Humber""",42698,343,0.8,7925,18.56,6419,15.03,7681,17.99,1590,3.72,5269,12.34,11513,26.96,2301,5.39,509.1
189,E07000166,Richmondshire,2025,"""Yorkshire and The Humber""",42698,323,0.76,7925,18.56,6419,15.03,7681,17.99,1590,3.72,5269,12.34,11513,26.96,2301,5.39,509.1
189,E07000166,Richmondshire,2030,"""Yorkshire and The Humber""",42698,304,0.71,7925,18.56,6419,15.03,7681,17.99,1590,3.72,5269,12.34,11513,26.96,2301,5.39,509.1
189,E07000166,Richmondshire,2035,"""Yorkshire and The Humber""",42698,289,0.68,7925,18.56,6419,15.03,7681,17.99,1590,3.72,5269,12.34,11513,26.96,2301,5.39,538.2
189,E07000166,Richmondshire,2040,"""Yorkshire and The Humber""",42698,283,0.66,7925,18.56,6419,15.03,7681,17.99,1590,3.72,5269,12.34,11513,26.96,2301,5.39,509.1
190,E07000167,Ryedale,2020,"""Yorkshire and The Humber""",43200,301,0.7,10369,24,5427,12.56,7033,16.28,1768,4.09,4900,11.34,11793,27.3,1910,4.42,494.5
190,E07000167,Ryedale,2025,"""Yorkshire and The Humber""",43200,305,0.71,10369,24,5427,12.56,7033,16.28,1768,4.09,4900,11.34,11793,27.3,1910,4.42,494.5
190,E07000167,Ryedale,2030,"""Yorkshire and The Humber""",43200,307,0.71,10369,24,5427,12.56,7033,16.28,1768,4.09,4900,11.34,11793,27.3,1910,4.42,494.5
190,E07000167,Ryedale,2035,"""Yorkshire and the Humber""",43200,303,0.7,10369,24,5427,12.56,7033,16.28,1768,4.09,4900,11.34,11793,27.3,1910,4.42,670
190,E07000167,Ryedale,2040,"""Yorkshire and the Humber""",43200,305,0.71,10369,24,5427,12.56,7033,16.28,1768,4.09,4900,11.34,11793,27.3,1910,4.42,494.5
191,E07000168,Scarborough,2020,"""Yorkshire and the Humber""",91402,586,0.64,23755,25.99,11781,12.89,14853,16.25,4862,5.32,11027,12.06,20742,22.69,4382,4.79,450.6
191,E07000168,Scarborough,2025,"""Yorkshire and the Humber""",91402,576,0.63,23755,25.99,11781,12.89,14853,16.25,4862,5.32,11027,12.06,20742,22.69,4382,4.79,450.6
191,E07000168,Scarborough,2030,"""Yorkshire and the Humber""",91402,558,0.61,23755,25.99,11781,12.89,14853,16.25,4862,5.32,11027,12.06,20742,22.69,4382,4.79,450.6
191,E07000168,Scarborough,2035,"""Yorkshire and the Humber""",91402,549,0.6,23755,25.99,11781,12.89,14853,16.25,4862,5.32,11027,12.06,20742,22.69,4382,4.79,505
191,E07000168,Scarborough,2040,"""Yorkshire and the Humber""",91402,543,0.59,23755,25.99,11781,12.89,14853,16.25,4862,5.32,11027,12.06,20742,22.69,4382,4.79,450.6
192,E07000169,Selby,2020,"""Yorkshire and The Humber""",68135,527,0.77,14431,21.18,9535,13.99,11323,16.62,3402,4.99,8731,12.81,17786,26.1,2927,4.3,572.5
192,E07000169,Selby,2025,"""Yorkshire and The Humber""",68135,540,0.79,14431,21.18,9535,13.99,11323,16.62,3402,4.99,8731,12.81,17786,26.1,2927,4.3,572.5
192,E07000169,Selby,2030,"""Yorkshire and The Humber""",68135,544,0.8,14431,21.18,9535,13.99,11323,16.62,3402,4.99,8731,12.81,17786,26.1,2927,4.3,572.5
192,E07000169,Selby,2035,"""Yorkshire and The Humber""",68135,553,0.81,14431,21.18,9535,13.99,11323,16.62,3402,4.99,8731,12.81,17786,26.1,2927,4.3,529.2
192,E07000169,Selby,2040,"""Yorkshire and The Humber""",68135,559,0.82,14431,21.18,9535,13.99,11323,16.62,3402,4.99,8731,12.81,17786,26.1,2927,4.3,572.5
