objectid,lau115cd,lau115nm,year,region,population,""" % no qualification""","""% level 1 qualification""",""" % level 2 qualification""",""" % apprenticeship""",""" % level 3 qualification",""" % level 4 and above""",""" % other qualifications"
300,E09000007,Camden,2020,London,184873,12.68,6.79,7.82,0.84,12.08,50.55,9.23
135,E07000106,Canterbury,2020,"""South East""",125971,20.46,11.77,14.33,3.34,17.56,27.3,5.24
68,E07000028,Carlisle,2020,"""North West""",89042,24.89,14.82,16.35,4.61,12.55,22.2,4.57
159,E07000130,Charnwood,2020,"""East Midlands""",137878,20.5,12.14,14.28,4.78,17.02,26.77,4.51
103,E07000070,Chelmsford,2020,"""East of England""",137003,18.86,14.97,17.33,3.63,12.47,28.8,3.93
111,E07000078,Cheltenham,2020,"""South West""",96008,16.57,11.36,14.35,3.15,13.77,36.23,4.58
200,E07000177,Cherwell,2020,"""South East""",113422,19.69,15.17,15.82,4.12,11.65,28.06,5.49
74,E07000034,Chesterfield,2020,"""East Midlands""",85595,27.59,14.31,17.02,4.02,12.08,21.02,3.95
243,E07000225,Chichester,2020,"""South East""",95161,19.51,11.6,15.94,3.42,12.77,32.39,4.39
58,E07000005,Chiltern,2020,"""South East""",73679,14.75,10.67,15.13,3.28,11.05,40.96,4.16
147,E07000118,Chorley,2020,"""North West""",87532,21.24,13.44,16.23,4.83,12.63,27.83,3.8
88,E07000048,Christchurch,2020,"""South West""",40289,23.38,13.67,16.67,5.24,11.31,25.15,4.57
104,E07000071,Colchester,2020,"""East of England""",141427,19.4,14.35,16.71,3.37,13.84,27.16,5.17
69,E07000029,Copeland,2020,"""North West""",58613,26.96,14.22,15.66,5.87,12.44,21,3.86
179,E07000150,Corby,2020,"""East Midlands""",48637,27.63,17.28,17.13,4.12,11.09,14.91,7.84
51,E06000052,Cornwall,2020,"""South West""",442332,22.43,13.38,17.36,4.54,13.09,24.99,4.2
112,E07000079,Cotswold,2020,"""South West""",69138,18.45,12.82,15.85,3.23,11.9,33.65,4.09
282,E08000026,Coventry,2020,"""West Midlands""",254106,23.93,13.29,14.08,4.04,14.24,23.05,7.38
186,E07000163,Craven,2020,"""Yorkshire and The Humber""",46161,20.27,11.74,15.73,4.56,12.25,31.76,3.69
244,E07000226,Crawley,2020,"""South East""",84549,20.1,18.05,17.06,3.41,11.3,21.54,8.53
301,E09000008,Croydon,2020,London,284268,17.62,13.82,15.23,2.12,11.43,31.77,8.01
129,E07000096,Dacorum,2020,"""East of England""",115983,18.77,14.72,16.14,3.47,11.56,30.93,4.42
5,E06000005,Darlington,2020,"""North East""",85357,24.81,13.41,15.9,5.1,12.75,23.72,4.32
136,E07000107,Dartford,2020,"""South East""",77342,21.12,17.34,18.15,4.28,11.55,22.05,5.52
180,E07000151,Daventry,2020,"""East Midlands""",63031,18.91,14.81,17.04,4.38,11.77,28.81,4.28
15,E06000015,Derby,2020,"""East Midlands""",198076,24.1,13.27,14.48,4.94,13.04,24.21,5.95
274,E08000017,Doncaster,2020,"""Yorkshire and the Humber""",244909,30.26,15.42,16.99,4.47,10.67,17.03,5.15
137,E07000108,Dover,2020,"""South East""",91382,25.04,14.64,17.44,3.69,12.09,21.96,5.13
283,E08000027,Dudley,2020,"""West Midlands""",253421,29.98,14.32,16.72,3.51,11.86,19.17,4.44
302,E09000009,Ealing,2020,London,269572,16.46,9.86,10.47,1.45,9.6,37.04,15.12
94,E07000061,Eastbourne,2020,"""South East""",82691,23.24,13.8,16.64,3.51,12.6,24.42,5.8
119,E07000086,Eastleigh,2020,"""South East""",101482,17.65,14.2,17.21,5.69,13.33,27.91,4.02
70,E07000030,Eden,2020,"""North West""",43976,22.67,13.45,16.49,3.72,12.02,27.42,4.23
225,E07000207,Elmbridge,2020,"""South East""",103005,13.23,10.15,13.9,2.21,11.07,43.85,5.59
303,E09000010,Enfield,2020,London,242465,22.99,12.85,13.77,1.94,10.54,28.72,9.19
76,E07000036,Erewash,2020,"""East Midlands""",91948,25.89,15.32,16.53,5.28,12.34,20.68,3.95
81,E07000041,Exeter,2020,"""South West""",99066,18.33,12.58,14.13,3.19,18.17,28.56,5.04
120,E07000087,Fareham,2020,"""South East""",92153,17.56,13.08,17.03,5.49,13.46,29.75,3.63
63,E07000010,Fenland,2020,"""East of England""",78482,31.25,15.61,16.98,4.04,10.39,14.88,6.86
148,E07000119,Fylde,2020,"""North West""",63757,21.17,11.98,16.56,4.2,12.27,29.77,4.04
293,E08000037,Gateshead,2020,"""North East""",164716,28.04,14.32,15.54,5.2,11.3,21.5,4.1
196,E07000173,Gedling,2020,"""East Midlands""",93186,23.59,13.71,15.81,4.55,12.88,25.33,4.14
114,E07000081,Gloucester,2020,"""South West""",97531,21.78,16.1,17.26,4.29,13.16,22.2,5.21
121,E07000088,Gosport,2020,"""South East""",66402,21.61,16.2,18.14,4.96,13.38,21.48,4.24
138,E07000109,Gravesham,2020,"""South East""",80964,24.38,16.36,17.02,4.25,11.06,19.96,6.97
304,E09000011,Greenwich,2020,London,199163,20.63,12,13.15,1.89,10.67,33.2,8.47
227,E07000209,Guildford,2020,"""South East""",112589,14.2,10.68,13.55,2.78,14.22,39.52,5.06
305,E09000012,Hackney,2020,London,195145,19.56,8.97,10.05,0.95,9.28,41.81,9.38
6,E06000006,Halton,2020,"""North West""",100819,26.91,16.84,18.55,3.81,12.52,17.65,3.74
187,E07000164,Hambleton,2020,"""Yorkshire and The Humber""",74039,19.63,11.98,16.09,4.07,12.18,32.06,3.99
160,E07000131,Harborough,2020,"""East Midlands""",69034,18.05,13.27,16.33,4.58,12.08,31.84,3.84
307,E09000014,Haringey,2020,London,202856,17.83,8.72,10.14,0.98,9.59,40.78,11.97
106,E07000073,Harlow,2020,"""East of England""",65061,26.05,18.77,17.16,3.58,11.19,17.63,5.62
188,E07000165,Harrogate,2020,"""Yorkshire and the Humber""",129036,17.29,11.84,16.38,3.6,11.8,34.1,4.99
308,E09000015,Harrow,2020,London,190998,16.75,10.92,12.8,1.71,10.4,36.76,10.65
122,E07000089,Hart,2020,"""South East""",72681,13.5,12.43,16.16,3.55,13,37.49,3.86
1,E06000001,Hartlepool,2020,"""North East""",74228,30.66,13.55,16.16,5.49,12.5,17.6,4.05
95,E07000062,Hastings,2020,"""South East""",73488,25.38,15.78,17.46,3.02,12.08,21.23,5.05
123,E07000090,Havant,2020,"""South East""",98807,25.04,14.8,17.12,4.84,11.95,22.28,3.96
309,E09000016,Havering,2020,London,192844,26.42,16.72,17.38,3.75,11.3,19.44,4.98
130,E07000098,Hertsmere,2020,"""East of England""",79841,19.42,14.1,15.78,2.87,11.21,30.8,5.83
310,E09000017,Hillingdon,2020,London,217043,19.14,13.98,14.22,2.91,12.48,28.04,9.23
245,E07000227,Horsham,2020,"""South East""",106758,16.31,13.26,17.75,3.4,12.67,32.61,4.01
311,E09000018,Hounslow,2020,London,202424,17.33,11.74,11.54,1.68,9.78,34.56,13.37
64,E07000011,Huntingdonshire,2020,"""East of England""",137157,19.22,14.62,16.96,3.81,12.38,27.92,5.09
149,E07000120,Hyndburn,2020,"""North West""",64092,27.99,13.84,16.23,5.53,12.55,18.93,4.93
220,E07000202,Ipswich,2020,"""East of England""",107396,25.81,15.88,16.27,3.82,11.42,20.63,6.17
312,E09000019,Islington,2020,London,173300,16.99,8.05,8.4,1.01,9.75,48.05,7.75
182,E07000153,Kettering,2020,"""East Midlands""",74809,22.83,15.46,17,4.34,11.78,23.27,5.32
290,E08000034,Kirklees,2020,"""Yorkshire and the Humber""",336309,25.44,13.21,15.01,4.83,12.56,23.87,5.08
268,E08000011,Knowsley,2020,"""North West""",117225,34.67,15.16,16.13,3.44,11.76,15.46,3.37
315,E09000022,Lambeth,2020,London,248300,14.24,8.53,9.83,1.06,9.66,46.62,10.06
150,E07000121,Lancaster,2020,"""North West""",115405,20.63,11.42,15.2,3.67,17.52,27.21,4.37
291,E08000035,Leeds,2020,"""Yorkshire and the Humber""",613992,23.21,12.59,14.11,3.73,14.74,26.94,4.69
16,E06000016,Leicester,2020,"""East Midlands""",260560,28.56,12.95,12.58,2.04,13.01,21.19,9.67
96,E07000063,Lewes,2020,"""South East""",80534,21.45,13.82,15.72,3.38,11.81,29.42,4.4
316,E09000023,Lewisham,2020,London,218749,17.72,11.07,12.46,1.44,10.83,38,8.47
212,E07000194,Lichfield,2020,"""West Midlands""",83057,22.42,13.71,16.02,3.54,11.77,28.42,4.12
167,E07000138,Lincoln,2020,"""East Midlands""",78190,21.91,13.24,16.1,3.71,18.41,21.29,5.35
269,E08000012,Liverpool,2020,"""North West""",388315,28.72,12.53,14.17,2.54,15.21,22.44,4.39
32,E06000032,Luton,2020,"""East of England""",156445,23.62,14.58,14.52,3.29,11.08,22.25,10.65
139,E07000110,Maidstone,2020,"""South East""",125476,20.65,14.61,17.62,4.07,12.15,25.63,5.26
107,E07000074,Maldon,2020,"""East of England""",50804,23.13,16.05,17.26,4.64,11.2,23.64,4.08
260,E08000003,Manchester,2020,"""North West""",405709,23.11,11.09,12.02,1.7,16.05,28.9,7.14
197,E07000174,Mansfield,2020,"""East Midlands""",85448,30.36,15.7,16.49,3.68,12.14,16.36,5.27
35,E06000035,Medway,2020,"""South East""",210511,22.91,16.85,18.36,4.68,12.74,19.13,5.32
162,E07000133,Melton,2020,"""East Midlands""",41237,21.36,14.05,16.48,4.84,12.67,26.15,4.46
205,E07000187,Mendip,2020,"""South West""",88882,21.44,13.54,17.08,4.06,12.04,27.87,3.98
317,E09000024,Merton,2020,London,160840,15.16,9.89,11.74,1.67,9.9,41.09,10.56
2,E06000002,Middlesbrough,2020,"""North East""",110409,29.89,13.63,15.3,4.41,13.17,18.54,5.05
318,E09000025,Newham,2020,London,238090,20.62,11.4,11.23,1.02,9.85,30.14,15.73
183,E07000154,Northampton,2020,"""East Midlands""",169056,22.54,14.93,15.84,3.57,12.37,23.67,7.08
56,E06000057,Northumberland,2020,"""North East""",262162,23.87,13.65,16.54,4.51,12.07,25.57,3.79
177,E07000148,Norwich,2020,"""East of England""",110805,22.63,12.75,13.85,2.58,15.24,27.73,5.23
18,E06000018,Nottingham,2020,"""East Midlands""",250104,25.59,12.24,12.93,2.29,18.56,21.94,6.46
